policy,K,scenario_id,replication,capacity,mean_response_time,median_response_time,p90_response_time,p95_response_time,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
P2,48,P2_K48,13,2,2.4820142563967975,2.2883064046834534,3.36642088284934,3.7397050594186965,0.9965156794425087,0.9965156794425087,0.030729301421618015,0.13225543464053488,0.0,0,0.0,574,0,55
P2,48,P2_K48,14,2,2.3676242738683597,2.1747971145641287,3.1662038340161303,3.6316422464997515,1.0,1.0,0.03095776484069873,0.1496790853793113,0.0,0,0.0,569,0,56
P2,48,P2_K48,15,2,2.4107114941581886,2.23937797905279,3.3664208828493827,3.642262072306721,1.0,1.0,0.029975309166429976,0.10639277625932433,0.0,0,0.0,573,0,57
P2,48,P2_K48,16,2,2.4086079006409977,2.2299247322197857,3.166203834016983,3.642262072306721,0.998211091234347,0.998211091234347,0.029988352841664952,0.11883365561248482,0.0,0,0.0,559,0,58
P2,48,P2_K48,17,2,2.377384105347695,2.2309325535891844,3.166203834016386,3.4994446008188618,0.9982698961937716,1.0,0.030666653527158156,0.13218447333415803,0.0,0,0.0,578,0,59
P2,48,P2_K48,18,2,2.4338228866448186,2.1750685830517114,3.162899888209523,3.73970505941843,0.9902439024390244,0.9934959349593496,0.033531609005630535,0.15453316601636566,0.0,0,0.0,615,0,60
P2,48,P2_K48,19,2,2.4775924186465375,2.229924732219253,3.366420882849468,3.739705059419123,0.9948453608247423,0.9982817869415808,0.030623684971215693,0.13370985235467117,0.0,0,0.0,582,0,61
P2,48,P2_K48,20,2,2.3828830017963605,2.230932553588545,3.166203834016727,3.631642246499677,1.0,1.0,0.030966617924229504,0.12721206243617728,0.0,0,0.0,584,0,62
P2,48,P2_K48,21,2,2.4032392071146114,2.230932553588545,3.1711803607512365,3.6422620723061776,0.996415770609319,1.0,0.030158777123339905,0.1058356457040068,0.0,0,0.0,558,0,63
P2,48,P2_K48,22,2,2.4220542419842217,2.2299247322193594,3.3664208828486153,3.7397050594186965,0.9982517482517482,0.9982517482517482,0.03146927163806571,0.13958753859867923,0.0,0,0.0,572,0,64
P2,48,P2_K48,23,2,2.4847012571992875,2.2499467463217115,3.3664208828490416,3.8996839922350546,0.996551724137931,0.9982758620689656,0.032308356999194376,0.1430773896485688,0.0,0,0.0,580,0,65
P2,48,P2_K48,24,2,2.3969982211350427,2.2299247322197857,3.1662038340160663,3.73970505941827,0.9983136593591906,1.0,0.03195680875448441,0.13388118715978797,0.0,0,0.0,593,0,66
P2,48,P2_K48,25,2,2.427797585759345,2.2393779790519375,3.258554195919743,3.772501582178016,0.9983221476510067,1.0,0.03231603816342954,0.1233551117297093,0.0,0,0.0,596,0,67
P2,48,P2_K48,26,2,2.4598190516854217,2.229924732218933,3.3664208828490416,3.8996839922350546,0.9948186528497409,0.998272884283247,0.031314209636158795,0.13296559439732347,0.0,0,0.0,579,0,68
P2,48,P2_K48,27,2,2.4005426792577165,2.2071533850046876,3.1662038340160024,3.642262072306721,0.9963963963963964,0.9981981981981982,0.028967674609815506,0.11539548012593025,0.0,0,0.0,555,0,69
P2,48,P2_K48,28,2,2.4185885834780487,2.2299247322193594,3.2585541959193165,3.642262072306071,0.998220640569395,0.998220640569395,0.029943403489145284,0.12047536661176463,0.0,0,0.0,562,0,70
P2,48,P2_K48,29,2,2.39640663440373,2.2397948187354544,3.1662038340158,3.4989490089478954,0.9982817869415808,0.9982817869415808,0.030653538346768257,0.11944699143914746,0.0,0,0.0,582,0,71
