Experiment,Policy,Factor,Level,Metric,Mean,Std,CI_95_lo,CI_95_hi
exp4_service_robustness,P0,service_time_mean,25.0,Mean RT (min),3.1651,0.065,3.1418,3.1883
exp4_service_robustness,P0,service_time_mean,25.0,"P90 Response Time (90th percentile, min)",5.3338,0.3457,5.2101,5.4575
exp4_service_robustness,P0,service_time_mean,25.0,6-min Coverage (NYC),0.9396,0.011,0.9357,0.9436
exp4_service_robustness,P0,service_time_mean,25.0,8-min Coverage (NFPA),0.9967,0.0021,0.9959,0.9974
exp4_service_robustness,P0,service_time_mean,25.0,Mean Utilization,0.0757,0.0032,0.0746,0.0768
exp4_service_robustness,P0,service_time_mean,30.0,Mean RT (min),3.1986,0.0659,3.175,3.2222
exp4_service_robustness,P0,service_time_mean,30.0,"P90 Response Time (90th percentile, min)",5.4355,0.344,5.3124,5.5586
exp4_service_robustness,P0,service_time_mean,30.0,6-min Coverage (NYC),0.9356,0.0117,0.9314,0.9398
exp4_service_robustness,P0,service_time_mean,30.0,8-min Coverage (NFPA),0.9957,0.0026,0.9948,0.9966
exp4_service_robustness,P0,service_time_mean,30.0,Mean Utilization,0.09,0.0037,0.0886,0.0913
exp4_service_robustness,P1,service_time_mean,20.0,Mean RT (min),2.5811,0.0496,2.5634,2.5989
exp4_service_robustness,P1,service_time_mean,20.0,"P90 Response Time (90th percentile, min)",3.8829,0.1634,3.8244,3.9414
exp4_service_robustness,P1,service_time_mean,20.0,6-min Coverage (NYC),0.9825,0.0048,0.9808,0.9843
exp4_service_robustness,P1,service_time_mean,20.0,8-min Coverage (NFPA),0.9973,0.002,0.9966,0.998
exp4_service_robustness,P1,service_time_mean,20.0,Mean Utilization,0.0601,0.0024,0.0593,0.061
exp4_service_robustness,P1,service_time_mean,25.0,Mean RT (min),2.6186,0.0519,2.6,2.6371
exp4_service_robustness,P1,service_time_mean,25.0,"P90 Response Time (90th percentile, min)",3.9882,0.1741,3.9259,4.0505
exp4_service_robustness,P1,service_time_mean,25.0,6-min Coverage (NYC),0.9801,0.0054,0.9781,0.982
exp4_service_robustness,P1,service_time_mean,25.0,8-min Coverage (NFPA),0.9964,0.0027,0.9955,0.9974
exp4_service_robustness,P1,service_time_mean,25.0,Mean Utilization,0.0745,0.003,0.0734,0.0755
exp4_service_robustness,P1,service_time_mean,30.0,Mean RT (min),2.6644,0.0582,2.6436,2.6852
exp4_service_robustness,P1,service_time_mean,30.0,"P90 Response Time (90th percentile, min)",4.1384,0.2138,4.0619,4.2149
exp4_service_robustness,P1,service_time_mean,30.0,6-min Coverage (NYC),0.9759,0.0056,0.9739,0.9779
exp4_service_robustness,P1,service_time_mean,30.0,8-min Coverage (NFPA),0.9954,0.0028,0.9944,0.9964
exp4_service_robustness,P1,service_time_mean,30.0,Mean Utilization,0.0888,0.0036,0.0876,0.0901
exp4_service_robustness,P2,service_time_mean,20.0,Mean RT (min),2.5236,0.0469,2.5068,2.5404
exp4_service_robustness,P2,service_time_mean,20.0,"P90 Response Time (90th percentile, min)",3.641,0.1103,3.6015,3.6804
exp4_service_robustness,P2,service_time_mean,20.0,6-min Coverage (NYC),0.9846,0.005,0.9828,0.9864
